name,address,rating,review_count
Yomi,"Rue du Simplon 1 bis, 1006 Lausanne",,0
YummiKa - Bar A Jus de Fruits,"Rue Enning 6, 1003 Lausanne",,0
Montchoisi,"Avenue Antoine-Michel-Servan 30, 1006 Lausanne",,0
1004 Café Restaurant,"Rue de Genève 87, 1004 Lausanne",,0
à la Bossette,"Place du Nord 4, 1005 Lausanne",,0
A La Pomme de Pin,"Rue Cité-Derrière 11, 1005 Lausanne",,0
Acarré Sàrl,"Rue Marterey 38, 1005 Lausanne",,0
Adriatico,"Rue de Genève 102, 1004 Lausanne",,0
Aimé Pouly - Chantilly,"Rue Centrale 5, 1003 Lausanne",,0
Aimé Pouly - Grottes,"Rue de la Grotte 1s, 1003 Lausanne",,0
Aimé Pouly - Marterey,"Rue Marterey 76, 1005 Lausanne",,0
Aquatis Hotel SA,"Route de Berne 150, 1010 Lausanne",,0
Association Histoires Urbaines,"Rue Côtes-de-Montbenon 28, 1003 Lausanne",,0
Atelier des Gourmands,"Rue Mercerie 14, 1003 Lausanne",,0
Au Solstice Restaurant Sàrl,"Chemin du Levant 1, 1005 Lausanne",,0
Aux Délices des Balkans,"Rue du Tunnel 16, 1005 Lausanne",,0
Aux Pates Fraiches,"Chemin des Cèdres 2B, 1004 Lausanne",,0
Aux Trois Bonheurs,"Place Benjamin-Constant 4, 1003 Lausanne",,0
BABOUCHKA - La Cuisine Faite Maison,"Rue Marterey 33, 1005 Lausanne",,0
BaiBua,"Chemin des Croix-Rouges 8, 1007 Lausanne",,0
Balzac Take Away,"Boulevard de Grancy 49, 1006 Lausanne",,0
Banh mi Olimy,"Avenue de Cour 67, 1007 Lausanne",,0
Barberousse Bar,"Rue de Genève 17, 1003 Lausanne",,0
BarrioFino Peruvian Food,"Rue du Tunnel 14, 1005 Lausanne",,0
